H04L 45/122 (20130101); H04L 41/12 (20130101); H04L 45/02 (20130101); H04L 43/10 (20130101); H04L 45/121 (20130101); H04L 45/123 (20130101); H04L 43/103 (20130101); H04L 45/12 (20130101); H04L 43/106 (20130101); H04L 63/061 (20130101); H04L 45/70 (20130101); H04L 45/124 (20130101); H04L 43/08 (20130101); H04L 43/50 (20130101); H04L 45/125 (20130101); H04L 63/06 (20130101),430
G06T 11/001 (20130101),159
G06T 11/00 (20130101); G06T 19/20 (20130101); G06T 2219/2024 (20130101); G06T 2219/2012 (20130101),417
G06Q 30/0201 (20130101); G06Q 50/26 (20130101),417
G09G 5/006 (20130101); G06F 3/04845 (20130101); H04N 5/23296 (20130101); G06T 3/40 (20130101); G09G 5/14 (20130101); G06F 3/0485 (20130101); H04N 5/23216 (20130101); H04N 5/23293 (20130101); G06F 3/0481 (20130101); G06F 16/739 (20190101); G09G 5/00 (20130101); G06F 2203/04806 (20130101); G09G 2340/045 (20130101); G09G 2340/14 (20130101),90
F23G 5/0276 (20130101); B09B 3/0083 (20130101); B09B 3/0016 (20130101); C10B 53/07 (20130101); B29B 17/02 (20130101); C08J 11/12 (20130101); B29B 2017/0255 (20130101),430
H04L 9/3252 (20130101); H04L 9/3247 (20130101); G06F 21/64 (20130101); H04L 9/302 (20130101); G06F 21/602 (20130101); H04L 9/3239 (20130101); H04L 9/3013 (20130101); H04L 9/3249 (20130101); H04L 2209/38 (20130101),414
B32B 3/28 (20130101); B32B 27/36 (20130101); B32B 27/40 (20130101); B32B 5/18 (20130101); B32B 27/12 (20130101); B32B 27/32 (20130101); B32B 27/065 (20130101); F41H 5/04 (20130101); B32B 27/08 (20130101); B32B 27/34 (20130101); B32B 5/028 (20130101); F41H 5/0478 (20130101); B32B 2262/0223 (20130101); B32B 2307/56 (20130101); B32B 2571/02 (20130101); B32B 2262/0276 (20130101); F41H 1/02 (20130101); B32B 2250/24 (20130101); B32B 2266/0278 (20130101),466
F28B 1/06 (20130101); F28B 9/10 (20130101); F28D 5/02 (20130101); F28B 9/08 (20130101); F28B 9/02 (20130101); F28B 2001/065 (20130101),382
A61Q 11/02 (20130101); A61Q 11/00 (20130101); A61K 8/347 (20130101); A61K 8/30 (20130101),409
A61D 19/02 (20130101); A61D 19/027 (20130101),409
H04L 67/12 (20130101); H04L 9/30 (20130101); H04W 4/40 (20180201); H04L 9/3268 (20130101); H04W 12/0401 (20190101); H04W 12/0609 (20190101); H04L 9/14 (20130101); H04L 63/0823 (20130101); H04L 2209/42 (20130101),414
G06N 5/022 (20130101); H04L 51/02 (20130101); G06N 5/04 (20130101); H04L 51/16 (20130101),65
G06F 21/608 (20130101); G06F 21/6227 (20130101); G06F 21/6209 (20130101); H04L 9/3263 (20130101); G06F 21/6245 (20130101); G06F 21/10 (20130101); G06F 21/6218 (20130101); H04L 9/3242 (20130101); G06Q 30/0277 (20130101); G06F 21/64 (20130101); G06F 2221/2107 (20130101),481
F16K 17/406 (20130101); Y10T 137/0402 (20150401); Y10T 137/1782 (20150401),417
E21B 43/16 (20130101); E21B 44/00 (20130101),430
A61B 5/1115 (20130101); A61B 5/0077 (20130101); A61B 5/1077 (20130101); A61B 5/7278 (20130101); A61B 5/015 (20130101); A61B 5/746 (20130101); A61B 5/1079 (20130101); A61B 5/1128 (20130101); A61B 5/0075 (20130101); A61B 2576/00 (20130101),494
G06F 3/1238 (20130101); H04W 4/80 (20180201); H04L 69/14 (20130101); G06F 3/1222 (20130101); G06F 3/1236 (20130101); G06F 21/608 (20130101); G06F 3/1292 (20130101); G06F 21/602 (20130101); H04N 1/4486 (20130101); H04L 67/12 (20130101); G06F 3/1204 (20130101); H04W 84/12 (20130101); H04N 2201/3281 (20130101); G06F 3/1226 (20130101),185
B04C 5/28 (20130101); E21B 43/36 (20130101); E21B 43/38 (20130101); B04C 5/12 (20130101); B04C 5/14 (20130101),186
D06M 16/003 (20130101); D21C 9/001 (20130101); D21C 5/005 (20130101); D21C 9/002 (20130101); D06M 2101/06 (20130101); D21H 11/20 (20130101); D21C 9/004 (20130101); D21C 9/005 (20130101),430
A01H 1/04 (20130101); A01H 1/02 (20130101); C12Q 1/6895 (20130101); C12Q 2600/13 (20130101),430
H04L 67/2819 (20130101); H04L 67/303 (20130101); H04L 67/2814 (20130101); H04L 67/2842 (20130101); H04L 69/08 (20130101); G06F 16/972 (20190101),3
B02C 15/04 (20130101); B02C 15/045 (20130101); B02C 23/30 (20130101); B02C 15/02 (20130101); B02C 15/001 (20130101); B02C 2015/002 (20130101),123
G06F 9/4881 (20130101); G06F 11/2007 (20130101); G06F 9/485 (20130101); G06F 13/366 (20130101); G06F 13/364 (20130101),414
G01V 3/14 (20130101); G01N 15/0886 (20130101); G01N 2015/0813 (20130101); G01N 2035/00881 (20130101),414
C11D 11/0041 (20130101); C12M 39/00 (20130101); C12F 3/00 (20130101); B01D 3/002 (20130101); C12M 21/12 (20130101); A61L 2/04 (20130101); B08B 9/08 (20130101); A61L 2202/17 (20130101),414
A01D 41/12 (20130101); B07B 4/02 (20130101); B08B 5/023 (20130101); A01D 45/10 (20130101); A01F 12/48 (20130101); A01F 29/02 (20130101),179
G08G 5/0021 (20130101); G08G 5/0052 (20130101); G08G 5/0039 (20130101); G01C 21/00 (20130101); B64D 45/00 (20130101); B64D 37/005 (20130101); G01N 9/36 (20130101),3
